path2sat,True,4,alarm,37,65,65,0.527956008911,0.1476,0.1791,0.1878
path2sat,True,12,anna-pp,22,148,148,5.36112999916,0.1525,0.136,0.1302,0.144,0.1066,0.0702,0.1643,0.2104,0.3684,1.4511,2.3786
path2sat,False,10,B10Cage,70,106,105,3143.87723398, ,0.6705,0.8134,1.0776,1.864,11.0518,43.0596,1085.2563,2000.0328
path2sat,True,7,barley,48,126,126,2.80160880089,0.7226,0.3848,0.2765,0.3454,0.48,0.5611
path2sat,True,7,barley-pp-001,16,50,50,0.61786198616,0.0887,0.1206,0.0848,0.082,0.12,0.1019
path2sat,True,7,barley-pp,26,78,78,0.964427947998,0.1464,0.1715,0.1116,0.1108,0.1974,0.2004
path2sat,True,7,barley-wpp,29,83,83,1.15395903587,0.1684,0.1554,0.1704,0.167,0.2082,0.2582
path2sat,True,4,bcs01.graph-001,5,10,10,0.302940130234,0.0728,0.1468,0.0705
path2sat,True,4,bcs01.graph-002,5,10,10,0.332847833633,0.118,0.1255,0.0803
path2sat,True,4,bcs01.graph-004,5,10,10,0.303930044174,0.1133,0.1353,0.0442
path2sat,True,13,bcs01.graph-005,44,172,172,1259.42252493,134.7748,0.3049,0.2321,0.2805,0.2781,0.3326,1.2915,2.6944,10.0463,32.0429,150.6852,926.3898
path2sat,True,4,bcs01.graph-00hree,5,10,10,0.126716852188,0.0391,0.044,0.0357
path2sat,True,13,bcs01-pp,44,172,172,1279.54649901,132.0206,0.1537,0.2841,0.272,0.3282,0.3843,1.5332,2.3802,10.7995,30.6216,153.4274,947.2817
path2sat,True,3,bcs05.graph-001,4,6,6,0.228825092316,0.1195,0.1013
path2sat,True,3,bcs05.graph-002,4,6,6,0.219765901566,0.123,0.0889
path2sat,True,25,BN_106,50,760,760,3852.62287998,1.3556,0.2994,0.2768,0.3636,0.4625,0.4458,0.5556,0.8611,1.2101,1.2381,1.8168,2.5768,4.0483,5.8558,7.0362,13.4066,69.2593,45.1546,99.743,437.2632,388.9091,200.4588,983.6307,1586.2742
path2sat,True,25,BN_107,50,760,760,4236.8562119,1.5473,0.288,0.3257,0.4073,0.4773,0.6076,0.4795,0.7555,1.0667,1.3755,1.9244,2.2955,3.8004,7.2701,6.865,13.252,69.8812,45.6709,100.9296,466.8326,401.8866,210.4228,1090.1679,1808.2038
path2sat,False,26,BN_108,50,740,740,4310.62030602, ,0.4221,0.35,0.3505,0.3303,0.5658,0.526,1.2945,0.8485,2.0311,2.0269,4.1482,2.407,8.9497,6.0993,16.4874,19.0805,37.1811,103.0751,204.7108,734.535,381.2242,378.9685,404.835,2000.0481
path2sat,False,26,BN_109,50,740,740,4250.77250981, ,0.3403,0.348,0.4189,0.4439,0.5807,0.6665,1.2558,1.0877,1.6693,2.1462,5.0857,2.4871,10.9504,6.5031,14.7651,18.1377,35.5995,103.6212,202.6776,705.8333,374.9855,373.9585,387.0208,2000.0523
path2sat,False,17,BN_10hree-pp,64,328,328,4006.23985696, ,0.4423,0.5988,0.6573,0.9002,0.895,1.2592,1.8905,3.3984,4.9485,10.6022,35.6933,140.2783,315.3101,1489.2396,2000.0443
path2sat,False,16,BN_10-pp-minor-40,40,211,211,3787.38283014, ,0.2157,0.1568,0.178,0.1819,0.2688,0.4707,0.8649,2.4665,7.782,31.4957,91.228,494.2625,1157.7021,2000.0393
path2sat,False,16,BN_10-pp-minor-41,41,214,214,3851.34273505, ,0.2075,0.16,0.2273,0.2541,0.3069,0.4574,0.744,3.147,8.6296,21.3,122.9504,516.803,1176.0468,2000.0383
path2sat,False,16,BN_10-pp-minor-42,42,217,217,4049.19335413, ,0.1424,0.1456,0.1759,0.2875,0.2866,0.4799,1.0134,2.5512,6.6574,39.359,158.9567,390.4688,1448.5647,2000.0386
path2sat,False,16,BN_10-pp-minor-44,44,223,223,3247.31547213, ,0.1528,0.2153,0.2424,0.3342,0.2545,0.506,1.6216,2.0494,14.0942,15.8915,102.9174,528.0055,580.8937,2000.0662
path2sat,False,16,BN_10-pp-minor-45,45,227,227,3818.32755613, ,0.2264,0.1829,0.1928,0.2715,0.2568,0.4238,0.915,1.6452,10.861,44.2954,123.0712,362.3149,1273.5711,2000.0391
path2sat,False,16,BN_10-pp-minor-46,46,231,231,4186.91560483, ,0.1857,0.2652,0.2537,0.3399,0.4641,0.5348,1.0028,1.9336,5.4663,33.1865,109.9374,622.1071,1411.1257,2000.035
path2sat,False,16,BN_10-pp-minor-47,47,235,235,3509.81056499, ,0.2039,0.2513,0.2241,0.278,0.4352,0.562,0.5548,2.1511,4.0186,28.7051,131.5459,314.2909,1026.4633,2000.0581
path2sat,False,16,BN_10-pp-minor-48,48,237,237,4277.55163503, ,0.1731,0.2401,0.3669,0.2773,0.334,0.6957,1.1521,1.9404,7.731,42.5884,147.1837,432.8088,1641.9412,2000.0456
path2sat,False,16,BN_10-pp-minor-49,49,241,241,4002.74668789, ,0.1993,0.2959,0.4325,0.358,0.4488,0.9868,1.1811,1.9946,8.2738,17.4017,82.2141,455.7251,1433.1336,2000.0318
path2sat,False,16,BN_10-pp-minor-4hree,43,220,220,3243.92086792, ,0.1695,0.1594,0.24,0.3253,0.2418,0.64,0.7892,2.595,6.797,47.346,80.9425,314.1877,789.3726,2000.0457
path2sat,False,16,BN_10-pp,57,257,257,4374.79519796, ,0.3123,0.3497,0.429,0.4313,0.6034,1.0402,1.1228,3.4585,10.1373,25.5479,116.8782,395.0997,1819.2898,2000.035
path2sat,False,26,BN_110,50,741,741,5901.95085692, ,0.3293,0.4026,0.4293,0.4848,0.4756,0.6802,1.0706,0.9094,1.2003,1.6046,1.1894,2.7892,6.1934,5.3424,26.9608,22.5425,96.7131,191.4446,257.9722,390.621,576.3236,1132.3763,1183.7361,2000.0331
