path2sattwin,True,4,alarm,37,65,65,0.524219036102,0.1593,0.135,0.2186
path2sattwin,True,12,anna-pp,22,148,148,4.33467316628,0.1601,0.109,0.0664,0.0728,0.0706,0.1443,0.0835,0.1381,0.6907,0.5715,2.1872
path2sattwin,False,10,B10Cage,70,106,105,3439.7511549, ,0.6814,0.8527,1.1951,2.0034,10.2326,40.5529,1384.1365,2000.0572
path2sattwin,True,7,barley,48,126,126,2.72479200363,0.983,0.2753,0.2497,0.2562,0.3134,0.6233
path2sattwin,True,7,barley-pp-001,16,50,50,0.775894880295,0.0838,0.1266,0.1322,0.0945,0.1407,0.1684
path2sattwin,True,7,barley-pp,26,78,78,0.816745996475,0.1888,0.0705,0.0731,0.1222,0.1887,0.1547
path2sattwin,True,7,barley-wpp,29,83,83,1.04998993874,0.1034,0.0967,0.1542,0.082,0.3956,0.1951
path2sattwin,True,4,bcs01.graph-001,5,10,10,0.0931310653687,0.0295,0.0313,0.0243
path2sattwin,True,4,bcs01.graph-002,5,10,10,0.424093961716,0.121,0.1455,0.1478
path2sattwin,True,4,bcs01.graph-004,5,10,10,0.137200117111,0.0443,0.0504,0.0345
path2sattwin,True,13,bcs01.graph-005,44,172,172,1346.37572694,156.1164,0.2165,0.2136,0.2277,0.2586,0.3115,1.3065,2.971,10.605,28.5622,147.2123,998.321
path2sattwin,True,4,bcs01.graph-00hree,5,10,10,0.191612958908,0.0503,0.0956,0.0379
path2sattwin,True,13,bcs01-pp,44,172,172,1542.92509389,150.4753,0.2122,0.1502,0.2254,0.326,0.3656,1.2693,2.2151,11.7141,34.0298,184.1392,1157.7427
path2sattwin,True,3,bcs05.graph-001,4,6,6,0.218907833099,0.0834,0.1287
path2sattwin,True,3,bcs05.graph-002,4,6,6,0.107063055038,0.0722,0.0293
path2sattwin,False,14,BN_0-pp-minor-40,40,173,173,3107.00574112, ,0.1244,0.1343,0.1561,0.2033,0.241,0.541,2.374,7.5901,14.2335,113.9749,967.335,2000.0434
path2sattwin,False,14,BN_0-pp-minor-41,41,176,176,2646.9858849, ,0.1612,0.1649,0.2433,0.277,0.3989,0.6396,2.4247,5.2357,13.1015,97.2194,526.9144,2000.1095
path2sattwin,False,14,BN_0-pp-minor-42,42,179,179,2794.40107584, ,0.1879,0.1888,0.2166,0.2356,0.3068,0.8182,2.3771,8.7638,26.3433,96.0307,658.8192,2000.0478
path2sattwin,False,15,BN_0-pp-minor-44,44,183,183,4557.142555, ,0.1705,0.1697,0.2624,0.2815,0.3927,0.7555,3.4727,4.9718,28.4278,42.0387,643.0036,1833.0878,2000.0519
path2sattwin,False,14,BN_0-pp-minor-45,45,187,187,2643.64833403, ,0.1786,0.2263,0.2343,0.2701,0.5791,1.0194,3.3241,9.9023,32.6732,103.956,491.1735,2000.0492
path2sattwin,False,14,BN_0-pp-minor-46,46,192,192,2499.04510093, ,0.1781,0.2008,0.3302,0.3508,0.4321,0.7683,4.8961,9.7565,36.2751,106.0411,339.6816,2000.0554
path2sattwin,False,14,BN_0-pp-minor-47,47,196,196,2592.5616529, ,0.2045,0.209,0.2502,0.3776,0.3819,1.2154,3.1206,7.3105,62.6418,114.7908,401.9423,2000.059
path2sattwin,False,14,BN_0-pp-minor-48,48,197,197,2902.71131802, ,0.2436,0.236,0.2755,0.3889,0.4228,1.5944,5.7449,7.2477,33.5758,302.8302,550.0638,2000.0292
path2sattwin,False,14,BN_0-pp-minor-49,49,202,202,2877.09199405, ,0.3135,0.2475,0.3245,0.3611,0.4542,1.3909,3.7287,9.978,27.8588,118.8326,713.504,2000.0465
